ヾ（ ゜д゜）ノ゛ハァァァァァ・・・・・・・！,,,-5783,名詞,一般,*,*,*,*,*,*,*,kaomoji
ヾ（＠°▽°＠）ノあはは,,,942,名詞,一般,*,*,*,*,*,*,*,kaomoji
ヽ（冫、）ノ アルァ！！,,,942,名詞,一般,*,*,*,*,*,*,*,kaomoji
￡゜（●＾д＾●）゜￡ヨロコビィ→♪♪,,,-3191,名詞,一般,*,*,*,*,*,*,*,kaomoji
（　　´　　ε　　｀　　●　　）ノ～～バィバィッ！！,,,-7819,名詞,一般,*,*,*,*,*,*,*,kaomoji
（ ＾ ． ＾ ）ど（－．－）う（＿ ＿）も,,,-5121,名詞,一般,*,*,*,*,*,*,*,kaomoji
（／＊＾＾＊）／ハズカシ,,,942,名詞,一般,*,*,*,*,*,*,*,kaomoji
．。゜＋．．。゜＋．　　．。゜＋．．。゜＋（●´艸｀）,,,-8514,名詞,一般,*,*,*,*,*,*,*,kaomoji
．＋：。（＊＞ω＜［ワーイ］（・ω・＊）．＋：。,,,-6453,名詞,一般,*,*,*,*,*,*,*,kaomoji
．＋：。キャワ（＊＞ω＜（・ω・＊）ィィ゜．＋：。,,,-7132,名詞,一般,*,*,*,*,*,*,*,kaomoji
＼＼＼＼（＊⌒◎⌒＊）／／／／　たこたこ♪,,,-4469,名詞,一般,*,*,*,*,*,*,*,kaomoji
－－－ ＝＝ΞΞ ヘ（ヘ（ヘ（ヘ（ヘ（ヘ（ヘ（ヘ（≧▽≦）ノ,,,-10645,名詞,一般,*,*,*,*,*,*,*,kaomoji
‐ ＝≡ ゜д゜）ノ　■←チョコ,,,-1351,名詞,一般,*,*,*,*,*,*,*,kaomoji
☆゜．＋：。゜ァリＶ（Ｏゝω・Ｏ）Ｖガト゜．＋：。,,,-7132,名詞,一般,*,*,*,*,*,*,*,kaomoji
Ｏ＜＾・Ｏ・＾＞ＯオＯ＜＾・Ｏ・＾＞ＯメＯ＜＾・＿・＾＞ＯデＯ＜＾・Ｏ・＾＞ＯトＯ＜＾・Ｏ・＾＞Ｏ,,,-25498,名詞,一般,*,*,*,*,*,*,*,kaomoji
